NOMBRE_DEPTO;CODIGO_MUNICIPIO;NOMBRE_MPIO;Nombre
AMAZONAS;91263;EL ENCANTO;El Encanto
AMAZONAS;91405;LA CHORRERA;La Chorrera
AMAZONAS;91407;LA PEDRERA;La Pedrera
AMAZONAS;91430;LA VICTORIA;La Victoria
AMAZONAS;91001;LETICIA;Leticia
AMAZONAS;91460;MIRITI - PARANÁ;Miriti - Paraná
AMAZONAS;91530;PUERTO ALEGRIA;Puerto Alegria
AMAZONAS;91536;PUERTO ARICA;Puerto Arica
AMAZONAS;91540;PUERTO NARIÑO;Puerto Nariño
AMAZONAS;91669;PUERTO SANTANDER;Puerto Santander
AMAZONAS;91798;TARAPACÁ;Tarapacá
ANTIOQUIA;05120;CÁCERES;Cáceres
ANTIOQUIA;05154;CAUCASIA;Caucasia
ANTIOQUIA;05250;EL BAGRE;El Bagre
ANTIOQUIA;05495;NECHÍ;Nechí
ANTIOQUIA;05790;TARAZÁ;Tarazá
ANTIOQUIA;05895;ZARAGOZA;Zaragoza
ANTIOQUIA;05142;CARACOLÍ;Caracolí
ANTIOQUIA;05425;MACEO;Maceo
ANTIOQUIA;05579;PUERTO BERRÍO;Puerto Berrio
ANTIOQUIA;05585;PUERTO NARE;Puerto Nare
ANTIOQUIA;05591;PUERTO TRIUNFO;Puerto Triunfo
ANTIOQUIA;05893;YONDÓ;Yondó
ANTIOQUIA;05031;AMALFI;Amalfi
ANTIOQUIA;05040;ANORÍ;Anorí
ANTIOQUIA;05190;CISNEROS;Cisneros
ANTIOQUIA;05604;REMEDIOS;Remedios
ANTIOQUIA;05670;SAN ROQUE;San Roque
ANTIOQUIA;05690;SANTO DOMINGO;Santo Domingo
ANTIOQUIA;05736;SEGOVIA;Segovia
ANTIOQUIA;05858;VEGACHÍ;Vegachí
ANTIOQUIA;05885;YALÍ;Yalí
ANTIOQUIA;05890;YOLOMBÓ;Yolombó
ANTIOQUIA;05038;ANGOSTURA;Angostura
ANTIOQUIA;05086;BELMIRA;Belmira
ANTIOQUIA;05107;BRICEÑO;Briceño
ANTIOQUIA;05134;CAMPAMENTO;Campamento
ANTIOQUIA;05150;CAROLINA;Carolina
ANTIOQUIA;05237;DON MATÍAS;Don Matias
ANTIOQUIA;05264;ENTRERRIOS;Entrerrios
ANTIOQUIA;05310;GÓMEZ PLATA;Gómez Plata
ANTIOQUIA;05315;GUADALUPE;Guadalupe
ANTIOQUIA;05361;ITUANGO;Ituango
ANTIOQUIA;05647;SAN ANDRÉS;San Andrés
ANTIOQUIA;05658;SAN JOSÉ DE LA MONTAÑA;San José De La Montaña
ANTIOQUIA;05664;SAN PEDRO;San Pedro
ANTIOQUIA;05686;SANTA ROSA DE OSOS;Santa Rosa De Osos
ANTIOQUIA;05819;TOLEDO;Toledo
ANTIOQUIA;05854;VALDIVIA;Valdivia
ANTIOQUIA;05887;YARUMAL;Yarumal
ANTIOQUIA;05004;ABRIAQUÍ;Abriaquí
ANTIOQUIA;05044;ANZA;Anza
ANTIOQUIA;05059;ARMENIA;Armenia
ANTIOQUIA;05113;BURITICÁ;Buriticá
ANTIOQUIA;05138;CAÑASGORDAS;Cañasgordas
ANTIOQUIA;05234;DABEIBA;Dabeiba
ANTIOQUIA;05240;EBÉJICO;Ebéjico
ANTIOQUIA;05284;FRONTINO;Frontino
ANTIOQUIA;05306;GIRALDO;Giraldo
ANTIOQUIA;05347;HELICONIA;Heliconia
ANTIOQUIA;05411;LIBORINA;Liborina
ANTIOQUIA;05501;OLAYA;Olaya
ANTIOQUIA;05543;PEQUE;Peque
ANTIOQUIA;05628;SABANALARGA;Sabanalarga
ANTIOQUIA;05656;SAN JERÓNIMO;San Jerónimo
ANTIOQUIA;05042;SANTAFÉ DE ANTIOQUIA;Santafé De Antioquia
ANTIOQUIA;05761;SOPETRÁN;Sopetran
ANTIOQUIA;05842;URAMITA;Uramita
ANTIOQUIA;05002;ABEJORRAL;Abejorral
ANTIOQUIA;05021;ALEJANDRÍA;Alejandría
ANTIOQUIA;05055;ARGELIA;Argelia
ANTIOQUIA;05148;EL CARMEN DE VIBORAL;Carmen De Viboral
ANTIOQUIA;05197;COCORNÁ;Cocorná
ANTIOQUIA;05206;CONCEPCIÓN;Concepción
ANTIOQUIA;05313;GRANADA;Granada
ANTIOQUIA;05318;GUARNE;Guarne
ANTIOQUIA;05321;GUATAPE;Guatape
ANTIOQUIA;05376;LA CEJA;La Ceja
ANTIOQUIA;05400;LA UNIÓN;La Unión
ANTIOQUIA;05440;MARINILLA;Marinilla
ANTIOQUIA;05483;NARIÑO;Nariño
ANTIOQUIA;05541;PEÑOL;Peñol
ANTIOQUIA;05607;RETIRO;Retiro
ANTIOQUIA;05615;RIONEGRO;Rionegro
ANTIOQUIA;05649;SAN CARLOS;San Carlos
ANTIOQUIA;05652;SAN FRANCISCO;San Francisco
ANTIOQUIA;05660;SAN LUIS;San Luis
ANTIOQUIA;05667;SAN RAFAEL;San Rafael
ANTIOQUIA;05674;SAN VICENTE;San Vicente
ANTIOQUIA;05697;EL SANTUARIO;Santuario
ANTIOQUIA;05756;SONSON;Sonson
ANTIOQUIA;05030;AMAGÁ;Amaga
ANTIOQUIA;05034;ANDES;Andes
ANTIOQUIA;05036;ANGELÓPOLIS;Angelopolis
ANTIOQUIA;05091;BETANIA;Betania
ANTIOQUIA;05093;BETULIA;Betulia
ANTIOQUIA;05125;CAICEDO;Caicedo
ANTIOQUIA;05145;CARAMANTA;Caramanta
ANTIOQUIA;05101;CIUDAD BOLÍVAR;Ciudad Bolívar
ANTIOQUIA;05209;CONCORDIA;Concordia
ANTIOQUIA;05282;FREDONIA;Fredonia
ANTIOQUIA;05353;HISPANIA;Hispania
ANTIOQUIA;05364;JARDÍN;Jardín
ANTIOQUIA;05368;JERICÓ;Jericó
ANTIOQUIA;05390;LA PINTADA;La Pintada
ANTIOQUIA;05467;MONTEBELLO;Montebello
ANTIOQUIA;05576;PUEBLORRICO;Pueblorrico
ANTIOQUIA;05642;SALGAR;Salgar
ANTIOQUIA;05679;SANTA BaRBARA;Santa Barbara
ANTIOQUIA;05789;TÁMESIS;Támesis
ANTIOQUIA;05792;TARSO;Tarso
ANTIOQUIA;05809;TITIRIBÍ;Titiribí
ANTIOQUIA;05847;URRAO;Urrao
ANTIOQUIA;05856;VALPARAISO;Valparaiso
ANTIOQUIA;05861;VENECIA;Venecia
ANTIOQUIA;05045;APARTADÓ;Apartadó
ANTIOQUIA;05051;ARBOLETES;Arboletes
ANTIOQUIA;05147;CAREPA;Carepa
ANTIOQUIA;05172;CHIGORODÓ;Chigorodó
ANTIOQUIA;05475;MURINDÓ;Murindó
ANTIOQUIA;05480;MUTATÁ;Mutata
ANTIOQUIA;05490;NECOCLÍ;Necoclí
ANTIOQUIA;05659;SAN JUAN DE URABÁ;San Juan De Uraba
ANTIOQUIA;05665;SAN PEDRO DE URABA;San Pedro De Uraba
ANTIOQUIA;05837;TURBO;Turbo
ANTIOQUIA;05873;VIGÍA DEL FUERTE;Vigía Del Fuerte
ANTIOQUIA;05079;BARBOSA;Barbosa
